Alaska, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
192506,2.54,0.20
192606,1.5,-0.84
192706,2.25,-0.09
192806,2.53,0.19
192906,1.79,-0.55
193006,2.27,-0.07
193106,1.91,-0.43
193206,3.11,0.77
193306,2.39,0.05
193406,1.57,-0.77
193506,1.76,-0.58
193606,1.24,-1.10
193706,2.14,-0.20
193806,2.91,0.57
193906,2.1,-0.24
194006,2,-0.34
194106,2.56,0.22
194206,2.32,-0.02
194306,1.9,-0.44
194406,1.92,-0.42
194506,2.64,0.30
194606,1.48,-0.86
194706,2.3,-0.04
194806,1.8,-0.54
194906,3.46,1.12
195006,2.74,0.40
195106,2.85,0.51
195206,2.07,-0.27
195306,2.16,-0.18
195406,1.74,-0.60
195506,3.19,0.85
195606,1.89,-0.45
195706,1.39,-0.95
195806,2.47,0.13
195906,1.45,-0.89
196006,2.17,-0.17
196106,2.9,0.56
196206,3.32,0.98
196306,3.5,1.16
196406,2.57,0.23
196506,2.81,0.47
196606,1.61,-0.73
196706,2.54,0.20
196806,2.02,-0.32
196906,1.39,-0.95
197006,2.65,0.31
197106,2.01,-0.33
197206,2.34,0.00
197306,2.29,-0.05
197406,2.04,-0.30
197506,2.86,0.52
197606,1.64,-0.70
197706,2.45,0.11
197806,3.18,0.84
197906,3.2,0.86
198006,3.71,1.37
198106,2.74,0.40
198206,2.45,0.11
198306,1.59,-0.75
198406,2.25,-0.09
198506,2.96,0.62
198606,1.93,-0.41
198706,3.51,1.17
198806,2.45,0.11
198906,2.71,0.37
199006,2.1,-0.24
199106,1.83,-0.51
199206,2.6,0.26
199306,1.97,-0.37
199406,2.4,0.06
199506,2.63,0.29
199606,2.73,0.39
199706,1.9,-0.44
199806,2.64,0.30
199906,2.7,0.36
200006,2.14,-0.20
200106,1.55,-0.79
200206,2.42,0.08
200306,2.49,0.15
200406,1.86,-0.48
200506,2.23,-0.11
200606,3.03,0.69
200706,1.96,-0.38
200806,2.63,0.29
200906,2.2,-0.14
201006,2.71,0.37
201106,2.58,0.24
201206,2.88,0.54
201306,1.76,-0.58
201406,3.81,1.47
201506,2.07,-0.27
