Idaho, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,4.17,1.15
189601,4.77,1.75
189701,1.72,-1.30
189801,2.46,-0.56
189901,3.02,0.00
190001,1.66,-1.36
190101,3.54,0.52
190201,1.94,-1.08
190301,4.26,1.24
190401,2.32,-0.70
190501,1.63,-1.39
190601,4.17,1.15
190701,4.14,1.12
190801,1.48,-1.54
190901,6.38,3.36
191001,3.08,0.06
191101,4.29,1.27
191201,3.45,0.43
191301,3.94,0.92
191401,4.03,1.01
191501,1.68,-1.34
191601,4.55,1.53
191701,2.3,-0.72
191801,3.59,0.57
191901,1.87,-1.15
192001,1.84,-1.18
192101,3.59,0.57
192201,2.38,-0.64
192301,3.83,0.81
192401,1.61,-1.41
192501,3.76,0.74
192601,1.9,-1.12
192701,2.88,-0.14
192801,2.55,-0.47
192901,3.04,0.02
193001,2.13,-0.89
193101,1.71,-1.31
193201,2.41,-0.61
193301,3.6,0.58
193401,2.65,-0.37
193501,2.49,-0.53
193601,5.26,2.24
193701,2.46,-0.56
193801,2.34,-0.68
193901,2.14,-0.88
194001,3.54,0.52
194101,1.95,-1.07
194201,2.19,-0.83
194301,4.11,1.09
194401,1.2,-1.82
194501,1.9,-1.12
194601,2.42,-0.60
194701,1.97,-1.05
194801,2.6,-0.42
194901,1.6,-1.42
195001,4.8,1.78
195101,3.13,0.11
195201,3.05,0.03
195301,5.63,2.61
195401,4.26,1.24
195501,1.71,-1.31
195601,4.18,1.16
195701,2.25,-0.77
195801,2.64,-0.38
195901,3.63,0.61
196001,2.03,-0.99
196101,1.24,-1.78
196201,2.05,-0.97
196301,2.15,-0.87
196401,3.59,0.57
196501,4.63,1.61
196601,2.74,-0.28
196701,4.6,1.58
196801,2.3,-0.72
196901,6.16,3.14
197001,6.15,3.13
197101,4.9,1.88
197201,4.3,1.28
197301,2.46,-0.56
197401,4.56,1.54
197501,3.81,0.79
197601,2.96,-0.06
197701,1.25,-1.77
197801,3.32,0.30
197901,2.36,-0.66
198001,4.31,1.29
198101,1.41,-1.61
198201,3.72,0.70
198301,2.57,-0.45
198401,1.75,-1.27
198501,.68,-2.34
198601,2.74,-0.28
198701,2,-1.02
198801,2.49,-0.53
198901,2.97,-0.05
199001,3.59,0.57
199101,1.83,-1.19
199201,1.27,-1.75
199301,2.81,-0.21
199401,1.89,-1.13
199501,3.55,0.53
199601,4.07,1.05
199701,4.44,1.42
199801,4.09,1.07
199901,3.33,0.31
200001,3.41,0.39
200101,1.37,-1.65
200201,2.97,-0.05
200301,3.19,0.17
200401,2.9,-0.12
200501,1.81,-1.21
200601,4.71,1.69
200701,1.36,-1.66
200801,3.53,0.51
200901,2.72,-0.30
201001,2.54,-0.48
201101,2.79,-0.23
201201,3.33,0.31
201301,1.9,-1.12
201401,2.02,-1.00
201501,2.06,-0.96
