Maryland, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,5.12,1.64
189604,1.42,-2.06
189704,2.93,-0.55
189804,2.85,-0.63
189904,1.56,-1.92
190004,2.17,-1.31
190104,5.6,2.12
190204,3.4,-0.08
190304,3.72,0.24
190404,2.31,-1.17
190504,3,-0.48
190604,2.96,-0.52
190704,3.33,-0.15
190804,2.41,-1.07
190904,3.43,-0.05
191004,5.56,2.08
191104,3.26,-0.22
191204,2.6,-0.88
191304,4.58,1.10
191404,3.6,0.12
191504,1.69,-1.79
191604,3.14,-0.34
191704,2.48,-1.00
191804,6.46,2.98
191904,3.66,0.18
192004,4.62,1.14
192104,3.15,-0.33
192204,1.86,-1.62
192304,4.08,0.60
192404,5.21,1.73
192504,2.49,-0.99
192604,1.77,-1.71
192704,4.73,1.25
192804,5.88,2.40
192904,6.51,3.03
193004,2.44,-1.04
193104,2.98,-0.50
193204,2.35,-1.13
193304,5.33,1.85
193404,2.64,-0.84
193504,3.89,0.41
193604,2.83,-0.65
193704,6.2,2.72
193804,1.82,-1.66
193904,4.91,1.43
194004,5.99,2.51
194104,3.09,-0.39
194204,1.02,-2.46
194304,3.11,-0.37
194404,4.32,0.84
194504,3.55,0.07
194604,2.02,-1.46
194704,2.88,-0.60
194804,3.61,0.13
194904,2.82,-0.66
195004,1.77,-1.71
195104,3.54,0.06
195204,6.67,3.19
195304,3.87,0.39
195404,3.45,-0.03
195504,2.94,-0.54
195604,2.64,-0.84
195704,3.02,-0.46
195804,4.61,1.13
195904,3.7,0.22
196004,2.93,-0.55
196104,4.35,0.87
196204,3.93,0.45
196304,1.31,-2.17
196404,5.21,1.73
196504,2.39,-1.09
196604,3.98,0.50
196704,1.86,-1.62
196804,1.57,-1.91
196904,2.57,-0.91
197004,4.67,1.19
197104,2.11,-1.37
197204,4.6,1.12
197304,5.7,2.22
197404,2.62,-0.86
197504,3.14,-0.34
197604,1.67,-1.81
197704,3.11,-0.37
197804,2.27,-1.21
197904,3.18,-0.30
198004,4.38,0.90
198104,3.79,0.31
198204,4.1,0.62
198304,7.44,3.96
198404,4.41,0.93
198504,.67,-2.81
198604,2.43,-1.05
198704,3.54,0.06
198804,2.86,-0.62
198904,3.5,0.02
199004,3.81,0.33
199104,2.47,-1.01
199204,2.25,-1.23
199304,5.23,1.75
199404,2.71,-0.77
199504,2.32,-1.16
199604,3.7,0.22
199704,2.59,-0.89
199804,3.91,0.43
199904,3.04,-0.44
200004,4.29,0.81
200104,2.06,-1.42
200204,3.73,0.25
200304,3.1,-0.38
200404,5.39,1.91
200504,3.59,0.11
200604,3.47,-0.01
200704,4.47,0.99
200804,4.72,1.24
200904,4.69,1.21
201004,1.87,-1.61
201104,4.77,1.29
201204,2.49,-0.99
201304,3.07,-0.41
201404,4.93,1.45
201504,3.63,0.15
