Arkansas, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,78.7,-1.6
189607,83.3,3.0
189707,82.2,1.9
189807,79.6,-0.7
189907,79.1,-1.2
190007,79.3,-1.0
190107,83.9,3.6
190207,79.6,-0.7
190307,79.2,-1.1
190407,77.5,-2.8
190507,76.5,-3.8
190607,76.5,-3.8
190707,80.9,0.6
190807,79,-1.3
190907,81.5,1.2
191007,79.1,-1.2
191107,78.1,-2.2
191207,80.9,0.6
191307,81.2,0.9
191407,82.3,2.0
191507,78.3,-2.0
191607,82,1.7
191707,79.3,-1.0
191807,79.1,-1.2
191907,80.8,0.5
192007,79.2,-1.1
192107,81.4,1.1
192207,79.7,-0.6
192307,79.4,-0.9
192407,78.5,-1.8
192507,81.2,0.9
192607,79.3,-1.0
192707,79.1,-1.2
192807,79.8,-0.5
192907,80.8,0.5
193007,84.3,4.0
193107,80.8,0.5
193207,82,1.7
193307,80.9,0.6
193407,84.9,4.6
193507,81.9,1.6
193607,82.5,2.2
193707,79.7,-0.6
193807,81.5,1.2
193907,81.7,1.4
194007,78.1,-2.2
194107,80.9,0.6
194207,80.9,0.6
194307,82.6,2.3
194407,80.9,0.6
194507,78.1,-2.2
194607,80.5,0.2
194707,78.1,-2.2
194807,80.5,0.2
194907,81,0.7
195007,76.9,-3.4
195107,80.5,0.2
195207,82.3,2.0
195307,80.2,-0.1
195407,85.4,5.1
195507,81.3,1.0
195607,81.1,0.8
195707,80.5,0.2
195807,79.7,-0.6
195907,78,-2.3
196007,79.1,-1.2
196107,77.8,-2.5
196207,80.4,0.1
196307,79.6,-0.7
196407,81.3,1.0
196507,80.2,-0.1
196607,82.4,2.1
196707,76.3,-4.0
196807,78.3,-2.0
196907,82.6,2.3
197007,78.4,-1.9
197107,78.8,-1.5
197207,77.9,-2.4
197307,79.8,-0.5
197407,80.8,0.5
197507,79.1,-1.2
197607,78.6,-1.7
197707,81.5,1.2
197807,82.7,2.4
197907,78.8,-1.5
198007,85.2,4.9
198107,81.3,1.0
198207,80.4,0.1
198307,80.5,0.2
198407,78.5,-1.8
198507,79.9,-0.4
198607,83.5,3.2
198707,79.7,-0.6
198807,79.6,-0.7
198907,77.6,-2.7
199007,79.8,-0.5
199107,80.6,0.3
199207,79.3,-1.0
199307,83.3,3.0
199407,78.1,-2.2
199507,80,-0.3
199607,79.2,-1.1
199707,81.3,1.0
199807,84,3.7
199907,81.6,1.3
200007,80.1,-0.2
200107,82,1.7
200207,80.6,0.3
200307,80,-0.3
200407,77.9,-2.4
200507,80.2,-0.1
200607,81.2,0.9
200707,77.6,-2.7
200807,80.5,0.2
200907,77.8,-2.5
201007,82,1.7
201107,84.7,4.4
201207,84.1,3.8
201307,78,-2.3
201407,75.4,-4.9
201507,81.9,1.6
