Delaware, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,24.2,-10.1
189602,35,0.7
189702,34.8,0.5
189802,34.8,0.5
189902,26.8,-7.5
190002,33,-1.3
190102,27.4,-6.9
190202,27.9,-6.4
190302,35.7,1.4
190402,26.7,-7.6
190502,25.1,-9.2
190602,33.2,-1.1
190702,27.5,-6.8
190802,30.5,-3.8
190902,41.7,7.4
191002,34,-0.3
191102,34.6,0.3
191202,29.6,-4.7
191302,34,-0.3
191402,29.3,-5.0
191502,37.8,3.5
191602,31.9,-2.4
191702,31.5,-2.8
191802,33.2,-1.1
191902,34.8,0.5
192002,30.6,-3.7
192102,37.1,2.8
192202,36.2,1.9
192302,29.8,-4.5
192402,32.2,-2.1
192502,41.6,7.3
192602,34.2,-0.1
192702,39.3,5.0
192802,34.7,0.4
192902,33.4,-0.9
193002,38.7,4.4
193102,35.9,1.6
193202,39.3,5.0
193302,36.4,2.1
193402,21.7,-12.6
193502,32.7,-1.6
193602,26.2,-8.1
193702,35.2,0.9
193802,38.4,4.1
193902,39.9,5.6
194002,33.2,-1.1
194102,31.2,-3.1
194202,31.8,-2.5
194302,36.3,2.0
194402,35.2,0.9
194502,35,0.7
194602,36.8,2.5
194702,29.6,-4.7
194802,33.6,-0.7
194902,40.7,6.4
195002,35.4,1.1
195102,36.3,2.0
195202,37.4,3.1
195302,38.9,4.6
195402,40.7,6.4
195502,35.3,1.0
195602,38.4,4.1
195702,38.2,3.9
195802,28.5,-5.8
195902,34.9,0.6
196002,36.4,2.1
196102,36.3,2.0
196202,32.6,-1.7
196302,28.7,-5.6
196402,32.9,-1.4
196502,34.8,0.5
196602,33.2,-1.1
196702,30.9,-3.4
196802,30.4,-3.9
196902,33,-1.3
197002,34.2,-0.1
197102,36.1,1.8
197202,33.3,-1.0
197302,33.5,-0.8
197402,33.7,-0.6
197502,37.1,2.8
197602,42.5,8.2
197702,35,0.7
197802,24.1,-10.2
197902,23.6,-10.7
198002,30.2,-4.1
198102,38.8,4.5
198202,35.5,1.2
198302,34.6,0.3
198402,40.4,6.1
198502,35.8,1.5
198602,33.1,-1.2
198702,31.6,-2.7
198802,36.1,1.8
198902,35.8,1.5
199002,42.3,8.0
199102,40.4,6.1
199202,37.6,3.3
199302,31.9,-2.4
199402,33.5,-0.8
199502,32.6,-1.7
199602,34.8,0.5
199702,40.8,6.5
199802,41.3,7.0
199902,38.3,4.0
200002,39.2,4.9
200102,38.6,4.3
200202,40.9,6.6
200302,32.1,-2.2
200402,36.1,1.8
200502,36.7,2.4
200602,37.1,2.8
200702,29.6,-4.7
200802,39.1,4.8
200902,38.5,4.2
201002,31.4,-2.9
201102,38.8,4.5
201202,41.1,6.8
201302,35.9,1.6
201402,33.9,-0.4
201502,26.2,-8.1
